,0,1,2,accuracy,macro avg,weighted avg
precision,1.0,0.96875,0.9411764705882353,0.97,0.9699754901960785,0.9702757352941177
recall,1.0,0.9393939393939394,0.9696969696969697,0.97,0.9696969696969697,0.97
f1-score,1.0,0.9538461538461539,0.955223880597015,0.97,0.9696900114810564,0.9699931113662457
support,34.0,33.0,33.0,0.97,100.0,100.0
